h_abuse_sum,abuse,followers_count,friends_count,friends_to_followers,followers_to_friends,account_verified,favorites_tweets,retweeted,retweet_count,tweet_sensitive,account_lists,mention_count,hashtag_count,age_of_account,recent_account,ratio_follows_sent,ratio_follows_received,mentions_over_tweets,replies_over_users,tweets_per_day,mentions_per_day,badwords,mutual_followers,mutual_followees,mutual_followers_followees,mutual_followees_followers,tweet_invasive
,,1605,1239,0.771963,1.2954,f,101394,1,1,f,68,2,1,2786,0,0.444724,0.576095,1.06095,1,1.15434,1.22469,1,0.000565930956423316,0.000801924619085806,0.000462002978058489,0.000462002978058489,1
,,1159,1348,1.16307,0.859792,f,6275,1,10,,73,0,1,2177,0,0.619201,0.532384,0.443538,20,1.4644,0.649518,0,0,0,0,0,1
,,1159,1348,1.16307,0.859792,f,6275,1,47,f,73,0,0,2177,0,0.619201,0.532384,0.443538,20,1.4644,0.649518,0,0,0,0,0,1
,,1265,1225,0.968379,1.03265,f,74,1,3,,23,2,0,1716,0,0.713869,0.737179,0.531808,1,1.85956,0.988928,0,0,0,0,0,1
,,280,2025,7.23214,0.138272,f,0,1,352,f,3,0,0,1428,0,1.41807,0.196078,0,0,0.00070028,0,0,1.37178351061349e-07,1.43770702981229e-05,0,9.57946163425616e-05,1
,,756,266,0.351852,2.84211,f,13096,1,14,,85,0,2,408,0,0.651961,1.85294,0,0,0.00245098,0,0,0.000128490883143538,0.000198122552950611,0.000135137650239485,6.06905614847986e-05,1
,,1327,1399,1.05426,0.948535,f,45436,1,14,,67,0,2,656,0,2.13262,2.02287,1.14286,0,4.91921,5.62195,0,4.02681642070437e-05,5.69673226672977e-05,3.75259597392717e-05,4.93492073283573e-05,0
,,285,457,1.60351,0.623632,f,2789,1,20,f,19,0,0,868,0,0.526498,0.328341,0,0,0.00115207,0,1,0,0,0,0,1
,,1312,1994,1.51982,0.657974,f,310,1,5,f,72,1,0,2141,0,0.931341,0.612798,0.590881,0,1.48529,0.877627,0,0,0,0,0,1
,,6151,844,0.137213,7.28791,f,167,1,5,f,209,0,0,1914,0,0.440961,3.21369,0.589688,2,1.67189,0.985893,0,2.9986948934317e-05,5.06108732400069e-05,3.62420476468267e-05,6.29424942538915e-06,0
,,1236,1471,1.19013,0.840245,f,23321,1,5,f,143,0,0,470,0,3.12979,2.62979,0.953632,0,6.88298,6.56383,0,2.4993018102106e-05,3.76774354562463e-05,3.35586551424676e-05,6.63743142301205e-05,0
,,783,2021,2.5811,0.387432,f,4956,1,5,f,27,0,0,2174,0,0.929623,0.360166,0,0,0.000459982,0,0,4.21203378051092e-05,8.10008716150129e-05,8.35816460012152e-05,0.000256715055575161,1
,,37,120,3.24324,0.308333,f,826,1,5,f,1,0,0,796,0,0.150754,0.0464824,0,0,0.00125628,0,0,1.25750573736993e-05,1.27610295173247e-05,1.66355739867153e-05,3.32711479734306e-05,1
,,308,2149,6.97727,0.143322,f,6243,1,5,f,12,0,0,334,0,6.43413,0.922156,0,0,0.00299401,0,0,1.85971634070084e-05,4.13345432967073e-05,3.58336867675822e-05,0.000263671754871911,1
,,2028,1952,0.962525,1.03893,f,11921,1,47,f,54,0,0,2248,0,0.868327,0.902135,0.692837,6,1.42215,0.98532,0,3.56846542708624e-05,7.39765979781246e-05,6.1350136985169e-05,9.49312645981036e-05,0
,,1336,2126,1.59132,0.62841,f,3189,1,47,f,143,0,0,1908,0,1.11426,0.70021,0.526808,0,1.68134,0.885744,0,3.04794691133754e-05,5.18440735855115e-05,4.94426871452594e-05,8.6950932565801e-05,1
,,314,263,0.83758,1.19392,f,10257,1,47,f,23,0,0,1074,0,0.244879,0.292365,0,0,0.000931099,0,0,0,0,0,0,1
,,756,923,1.2209,0.819068,f,4109,1,47,f,25,0,0,914,0,1.00985,0.827133,0,0,0.00109409,0,0,4.01055522173124e-05,7.81578499283003e-05,6.75535199702394e-05,0.000124310815287701,0
,,423,404,0.955083,1.04703,f,1717,1,47,f,16,0,0,970,0,0.416495,0.436082,0,0,0.00103093,0,0,3.6243899698632e-05,8.49892346969384e-05,6.76587463313776e-05,0.000102287238548224,0
,,2240,2448,1.09286,0.915033,f,3250,1,47,f,104,0,0,2211,0,1.10719,1.01312,0.867776,0,1.44007,1.24966,0,2.360538888629e-05,4.53950301314671e-05,3.82937316124556e-05,7.79550964967846e-05,0
,,1879,2483,1.32145,0.756746,f,123311,1,47,f,112,0,0,456,0,5.44518,4.12061,0.868627,0,7.01096,6.08991,0,2.94412297682705e-05,5.64028461329649e-05,4.41034908831857e-05,0.000115669572154281,0
,,2035,1752,0.860934,1.16153,f,60117,1,47,f,76,0,0,1977,0,0.886191,1.02934,0.506841,0,1.62671,0.824482,0,2.75224284139487e-05,5.36210781472035e-05,4.58531983117831e-05,6.57646367846418e-05,1
,,701,950,1.35521,0.737895,f,31289,1,1,f,93,0,0,688,0,1.38081,1.0189,0,1,0.00290698,0,0,2.58880167903382e-05,4.41070325159517e-05,3.80714628551694e-05,7.71626970368165e-05,0
,,534,1656,3.10112,0.322464,f,2210,1,47,f,135,0,0,933,0,1.77492,0.572347,0,0,0.00107181,0,0,1.19083745577176e-05,3.48095099140458e-05,2.19488605709253e-05,0.000108328247333921,0
,,1543,1396,0.904731,1.1053,f,5887,1,47,f,43,0,0,2455,0,0.568635,0.628513,0.770291,0,1.2998,1.00122,0,1.54063783854095e-05,3.3686638991002e-05,2.69468703467064e-05,4.32244214698437e-05,0
,,2002,1366,0.682318,1.46559,f,26811,1,47,f,133,0,0,2428,0,0.562603,0.824547,0.686572,0,1.33114,0.913921,0,6.48217646303073e-06,1.77243936827974e-05,1.12280736388891e-05,1.09813027896828e-05,0
,,318,555,1.74528,0.572973,f,10063,1,4,f,14,0,0,1298,0,0.427581,0.244992,0,3,0.000770416,0,0,3.73954463852594e-05,9.22383164799125e-05,7.61085030495293e-05,0.000157060274474938,0
,,944,1857,1.96716,0.508347,f,934,1,4,f,27,0,0,1295,0,1.43398,0.728958,0,0,0.000772201,0,0,3.71945295653514e-05,5.085610118251e-05,6.57890588957361e-05,0.00011293788443768,0
,,955,1872,1.96021,0.51015,f,1466,1,47,f,55,0,0,1908,0,0.981132,0.500524,0,0,0.000524109,0,0,1.79297208730937e-05,4.12394481183279e-05,3.55789070317888e-05,9.01332311471984e-05,1
,,690,1692,2.45217,0.407801,f,9097,1,47,f,27,0,0,2370,0,0.713924,0.291139,0,0,0.000421941,0,0,1.14324019557208e-05,2.02937257577003e-05,2.09956044456591e-05,5.33786553703198e-05,1
,,2685,1054,0.392551,2.54744,f,38967,1,2,,206,7,0,1453,0,0.725396,1.8479,1.30456,0,2.23262,2.91259,1,0,0,0,0,1
,,264,209,0.791667,1.26316,f,4813,1,2,f,34,5,0,474,0,0.440928,0.556962,5,4,0.0021097,0.0105485,0,0,0,0,0,1
-4,0,1861,216,0.116067,8.61574,f,785,0,0,f,18,3,0,632,0,0.341772,2.94462,2.69231,20,0.0205696,0.0553797,0,6.25928222767571e-08,0,0,0,1
-1,,41,2,0.0487805,20.5,f,38,0,0,f,0,2,0,42,0,0.047619,0.97619,2.6,26,0.357143,0.928571,0,1.03885526460682e-07,0,0,0,1
-7,0,41,2,0.0487805,20.5,f,38,0,0,f,0,3,0,42,0,0.047619,0.97619,2.6,26,0.357143,0.928571,0,1.03885526460682e-07,0,0,0,1
,,864,1195,1.3831,0.723013,f,4413,1,352,f,21,0,0,260,0,4.59615,3.32308,0,0,0.00384615,0,0,0,0,0,0,1
2,1,1861,216,0.116067,8.61574,f,785,0,0,f,18,3,0,632,0,0.341772,2.94462,2.69231,20,0.0205696,0.0553797,2,6.25928222767571e-08,0,0,0,1
3,1,41,2,0.0487805,20.5,f,38,0,0,f,0,2,0,42,0,0.047619,0.97619,2.6,26,0.357143,0.928571,0,1.03885526460682e-07,0,0,0,1
3,1,1861,216,0.116067,8.61574,f,785,0,0,f,18,2,0,632,0,0.341772,2.94462,2.69231,20,0.0205696,0.0553797,0,6.25928222767571e-08,0,0,0,1
-3,0,41,2,0.0487805,20.5,f,38,0,0,f,0,3,0,42,0,0.047619,0.97619,2.6,26,0.357143,0.928571,0,1.03885526460682e-07,0,0,0,1
4,1,41,2,0.0487805,20.5,f,38,0,0,f,0,2,0,42,0,0.047619,0.97619,2.6,26,0.357143,0.928571,1,1.03885526460682e-07,0,0,0,1
2,1,1861,216,0.116067,8.61574,f,785,0,0,f,18,2,0,632,0,0.341772,2.94462,2.69231,20,0.0205696,0.0553797,0,6.25928222767571e-08,0,0,0,1
-6,0,909,1132,1.24532,0.803004,f,66674,0,0,f,19,8,0,1982,0,0.57114,0.458628,8,6,0.0025227,0.0201816,1,0,0,0,0.0002,1
-5,0,215,203,0.944186,1.05911,f,5039,0,0,f,2,8,0,550,0,0.369091,0.390909,8,9,0.00545455,0.0436364,1,0,0,0,0,1
-4,0,215,203,0.944186,1.05911,f,5039,0,0,f,2,8,0,550,0,0.369091,0.390909,8,9,0.00545455,0.0436364,1,0,0,0,0,1
3,1,1861,216,0.116067,8.61574,f,785,0,0,f,18,2,0,632,0,0.341772,2.94462,2.69231,20,0.0205696,0.0553797,3,6.25928222767571e-08,0,0,0,1
-7,0,215,203,0.944186,1.05911,f,5039,0,0,f,2,8,0,550,0,0.369091,0.390909,8,9,0.00545455,0.0436364,1,0,0,0,0,1
-4,0,4,221,55.25,0.0180995,f,13,0,0,f,2,1,0,60,0,3.68333,0.0666667,1,2,0.0333333,0.0333333,0,5.48829196396058e-08,0,0,0.00566037735849057,1
,,2949,851,0.288572,3.46533,f,54627,0,0,f,23,8,0,1118,0,0.761181,2.63775,0.953554,14,2.86941,2.73614,0,9.82700925979429e-10,0,0,6.75675675675676e-05,1
-6,0,909,1132,1.24532,0.803004,f,66674,0,0,f,19,8,0,1982,0,0.57114,0.458628,8,6,0.0025227,0.0201816,1,0,0,0,0.0002,1
-8,0,2949,851,0.288572,3.46533,f,54627,0,0,f,23,8,0,1118,0,0.761181,2.63775,0.953554,14,2.86941,2.73614,0,9.82700925979429e-10,0,0,6.75675675675676e-05,1
-4,0,909,1132,1.24532,0.803004,f,66674,0,0,f,19,8,0,1982,0,0.57114,0.458628,8,6,0.0025227,0.0201816,1,0,0,0,0.0002,1
,,1136,1786,1.57218,0.636058,f,91,1,47,f,25,0,0,1528,0,1.16885,0.743455,1.15578,0,2.11322,2.44241,0,2.1686565848472e-05,3.53417781698388e-05,3.40550231874643e-05,9.12903562756396e-05,1
7,1,1861,216,0.116067,8.61574,f,785,0,0,f,18,2,0,632,0,0.341772,2.94462,2.69231,20,0.0205696,0.0553797,1,6.25928222767571e-08,0,0,0,1
-6,0,2949,851,0.288572,3.46533,f,54627,0,0,f,23,8,0,1118,0,0.761181,2.63775,0.953554,14,2.86941,2.73614,0,9.82700925979429e-10,0,0,6.75675675675676e-05,1
-7,0,909,1132,1.24532,0.803004,f,66674,0,0,f,19,8,0,1982,0,0.57114,0.458628,8,6,0.0025227,0.0201816,1,0,0,0,0.0002,1
